City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,margate,51.3813,1.3862,52.9,94,100,3.0,GB,1714254173
222,san patricio,28.017,-97.5169,86.09,72,74,22.93,US,1714254226
223,laojunmiao,39.8333,97.7333,35.49,58,100,7.29,CN,1714254227
224,cardenas,23.0375,-81.2047,81.36,65,78,24.25,CU,1714254227
225,hadibu,12.65,54.0333,82.33,73,97,6.62,YE,1714254227
226,nicoya,10.1483,-85.452,82.83,72,100,4.05,CR,1714254228
227,constitucion,-35.3333,-72.4167,54.03,72,1,12.75,CL,1714254056
228,souillac,-20.5167,57.5167,75.58,94,75,2.3,MU,1714254229
229,tupanatinga,-8.7533,-37.3397,69.96,88,89,7.09,BR,1714254211
230,lannemezan,43.1252,0.384,45.59,94,64,4.25,FR,1714254229
231,akureyri,65.6835,-18.0878,37.33,87,75,4.61,IS,1714254230
232,heyuan,23.7333,114.6833,74.39,97,87,1.01,CN,1714254033
233,chadan,51.2833,91.5833,33.49,46,8,4.03,RU,1714254231
234,vilyuchinsk,52.9306,158.4028,37.92,98,100,4.9,RU,1714254231
235,benghazi,32.1167,20.0667,74.98,34,65,16.46,LY,1714254182
236,dauphin,51.1494,-100.0502,46.54,29,0,14.97,CA,1714254232
237,cockburn town,21.4612,-71.1419,76.23,70,99,23.42,TC,1714254232
238,pundong,-7.9522,110.3486,77.45,93,100,3.0,ID,1714254233
239,nuku'alofa,-21.1333,-175.2,84.54,79,40,11.5,TO,1714254233
240,qamdo,31.1667,97.2333,35.29,57,73,4.34,CN,1714254234
241,brigantine,39.4101,-74.3646,52.2,74,100,14.0,US,1714254234
242,punta arenas,-53.15,-70.9167,41.11,70,75,32.21,CL,1714254039
243,hilo,19.7297,-155.09,80.33,79,20,9.22,US,1714254235
244,camana,-16.6228,-72.7111,68.99,77,48,6.71,PE,1714254235
245,palikir - national government center,6.9248,158.1611,82.0,79,83,19.98,FM,1714254236
246,paracale,14.2804,122.7881,79.03,88,82,3.96,PH,1714254237
247,sitka,57.0531,-135.33,51.69,71,100,5.75,US,1714254238
248,taltal,-25.4,-70.4833,65.35,80,35,4.88,CL,1714254238
249,kroya,-7.6331,109.2461,77.97,93,100,2.98,ID,1714254238
250,mersa matruh,31.3525,27.2453,64.6,77,0,4.61,EG,1714254239
251,lome,6.1375,1.2123,86.16,84,20,8.05,TG,1714254239
252,constantia,44.1833,28.65,50.7,73,62,8.21,RO,1714254240
253,agaro,7.85,36.65,63.05,85,84,1.77,ET,1714254240
254,nantucket,41.2835,-70.0995,54.09,49,0,16.11,US,1714254183
255,ausa,41.9271,2.2497,58.35,92,100,3.98,ES,1714254241
256,muynoq,43.7683,59.0214,57.94,55,2,9.71,UZ,1714254241
257,ilha de mocambique,-15.0342,40.7358,78.22,78,24,17.07,MZ,1714254242
258,moussoro,13.6408,16.4901,88.74,10,94,14.2,TD,1714254242
259,wongsorejo,-7.9908,114.4009,77.52,91,25,7.38,ID,1714254243
260,vilyuysk,63.7553,121.6247,20.37,93,100,6.08,RU,1714254243
261,chinde,26.8418,88.0763,65.52,34,16,5.79,NP,1714254244
262,surab,28.4914,66.2585,54.37,46,98,12.37,PK,1714254245
263,villa huidobro,-34.8383,-64.5869,51.37,58,4,6.35,AR,1714254245
264,cidreira,-30.1811,-50.2056,72.45,94,100,17.69,BR,1714254245
265,siocon,7.7061,122.1353,80.28,86,98,3.6,PH,1714254246
266,xiva,41.3783,60.3639,51.78,15,1,8.75,UZ,1714254247
267,hotan,37.0997,79.9269,60.44,25,100,8.43,CN,1714254031
268,colares,38.7992,-9.4469,56.75,75,6,28.01,PT,1714254248
269,wenchang,30.904,118.4887,65.93,94,100,3.65,CN,1714254248
270,sosnovka,56.255,51.2842,58.6,78,13,6.51,RU,1714254248
271,dongola,19.1667,30.4833,85.08,19,0,18.52,SD,1714254249
272,contamana,-7.3333,-75.0167,82.2,88,100,0.63,PE,1714254249
273,tazovsky,67.4667,78.7,26.58,98,100,6.6,RU,1714254250
274,baoqing,46.3317,132.2111,44.38,59,41,5.14,CN,1714254250
275,francisco sa,-16.4758,-43.4883,78.94,76,14,9.66,BR,1714254250
276,vilhena,-12.7406,-60.1458,80.82,83,75,6.91,BR,1714254251
277,oranjemund,-28.55,16.4333,61.23,86,40,7.25,NA,1714254251
278,theunissen,-28.411,26.7011,58.46,61,59,9.42,ZA,1714254252
279,perros-guirec,48.8145,-3.4396,51.49,84,75,8.05,FR,1714254252
280,san fernando,15.0286,120.6898,83.93,79,15,4.18,PH,1714254087
281,tralee,52.2704,-9.7026,40.82,87,12,4.7,IE,1714254253
282,creston,41.0586,-94.3614,66.16,100,100,16.11,US,1714254120
283,saint-philippe,-21.3585,55.7679,78.39,83,85,2.75,RE,1714254254
284,howrah,22.5892,88.3103,87.8,79,40,9.22,IN,1714254212
285,bubaque,11.2833,-15.8333,77.22,79,70,14.92,GW,1714254255
286,storm lake,42.6411,-95.2097,63.45,82,93,6.91,US,1714254010
287,maputsoe,-28.8833,27.9,57.06,62,62,3.47,LS,1714254256
288,miass,55.045,60.1083,59.4,90,100,5.01,RU,1714254033
289,sinop,41.7711,34.8709,56.53,88,100,2.33,TR,1714254257
290,floriano,-6.7669,-43.0225,81.55,68,100,4.79,BR,1714254257
291,kailua-kona,19.6406,-155.9956,83.28,73,20,13.8,US,1714254258
292,mount pearl,47.5166,-52.7813,35.15,79,75,20.71,CA,1714254258
293,anna regina,7.2644,-58.5077,80.22,72,95,8.03,GY,1714254259
294,kismayo,-0.3582,42.5454,80.58,84,100,15.14,SO,1714254259
295,senador jose porfirio,-2.5908,-51.9542,77.25,93,100,2.91,BR,1714254260
296,selfoss,63.9331,-20.9971,41.04,67,10,6.8,IS,1714254009
297,miracema do tocantins,-9.5618,-48.3967,79.92,81,77,3.8,BR,1714254260
298,daru,-9.0763,143.2092,81.25,85,77,17.27,PG,1714254261
299,essaouira,31.5125,-9.77,62.1,77,20,5.75,MA,1714254261
300,geraldton,-28.7667,114.6,55.81,62,74,6.91,AU,1714254262
301,bondoukou,8.0333,-2.8,80.94,70,85,1.07,CI,1714254262
302,zanjan,36.6736,48.4787,49.33,47,0,7.2,IR,1714254263
303,northport,33.229,-87.5772,82.31,55,40,12.66,US,1714254002
304,walvis bay,-22.9575,14.5053,64.17,67,42,3.6,NA,1714254263
305,al jawf,29.5,38.75,76.46,33,100,2.08,SA,1714253996
306,olinda,-8.0089,-34.8553,85.73,70,40,10.36,BR,1714254265
307,dadukou,26.5479,101.7054,63.16,60,0,2.08,CN,1714254265
308,mirpur sakro,24.5474,67.6277,79.03,70,0,14.79,PK,1714254265
309,genhe,50.7833,121.5167,29.59,46,4,1.83,CN,1714254266
310,villanueva,15.3167,-88.0,91.04,55,20,19.57,HN,1714254267
311,paragominas,-2.9667,-47.4833,75.34,96,93,3.49,BR,1714253969
312,ivdel',60.6911,60.4206,53.19,97,100,5.01,RU,1714254267
313,portland,45.5234,-122.6762,53.91,78,100,8.99,US,1714254170
314,lorengau,-2.0226,147.2712,84.56,73,100,6.17,PG,1714254268
315,kayangel,8.0823,134.7173,82.94,83,100,19.75,PW,1714254033
316,bequimao,-2.4489,-44.7825,75.47,98,99,3.36,BR,1714254269
317,inyonga,-6.7167,32.0667,65.07,94,100,5.64,TZ,1714254270
318,alice springs,-23.7,133.8833,42.35,75,91,6.91,AU,1714254270
319,vicuna,-30.0319,-70.7081,78.76,27,100,3.36,CL,1714254270
320,mangrol,21.1167,70.1167,80.74,63,56,10.58,IN,1714254271
321,manta,-0.95,-80.7333,81.61,71,69,10.83,EC,1714254248
322,gereida,11.2811,25.1414,84.4,44,66,8.25,SD,1714254272
323,bel ombre,-4.6167,55.4167,83.82,78,100,7.9,SC,1714254034
324,syas'stroy,60.1367,32.5691,40.84,83,4,6.67,RU,1714254273
325,narvik,68.4384,17.4272,38.61,78,20,8.63,NO,1714254273
326,barnoldswick,53.9171,-2.1871,43.66,83,100,7.05,GB,1714254274
327,zouerate,22.7187,-12.4521,75.11,50,100,20.62,MR,1714254004
328,michurinsk,52.8978,40.4907,52.36,93,25,4.97,RU,1714254275
329,bela vista,-22.1089,-56.5211,86.43,44,14,5.39,BR,1714254276
330,gisborne,-38.6533,178.0042,56.64,58,0,4.03,NZ,1714254276
331,cam ranh,11.9214,109.1591,84.16,74,0,6.91,VN,1714254276
332,saldanha,-33.0117,17.9442,64.45,82,0,23.09,ZA,1714254277
333,erenhot,43.6475,111.9767,36.66,79,100,17.78,CN,1714254277
334,kloulklubed,7.0419,134.2556,79.3,81,100,18.25,PW,1714254278
335,klintsy,52.7602,32.2393,48.07,67,97,3.98,RU,1714254279
336,kutum,14.2,24.6667,80.49,17,34,6.82,SD,1714254279
337,ceeldheer,3.8488,47.1806,83.93,74,98,10.51,SO,1714254280
338,bankim,6.083,11.4905,75.43,76,86,1.12,CM,1714254280
339,plouzane,48.3833,-4.6167,46.45,79,20,8.05,FR,1714254278
340,puerto aysen,-45.4,-72.7,40.37,100,100,5.95,CL,1714254281
341,ciudad lazaro cardenas,17.9583,-102.2,82.11,62,22,8.55,MX,1714254131
342,nadi,-17.8,177.4167,84.2,65,75,3.44,FJ,1714254282
343,kadugli,11.0167,29.7167,88.56,34,69,1.54,SD,1714254282
344,fort bragg,35.139,-79.006,78.94,50,75,11.5,US,1714254283
345,komyshuvakha,47.7176,35.5288,58.35,67,7,12.8,UA,1714254283
346,barclayville,4.6797,-8.2339,81.03,88,54,5.01,LR,1714254283
347,itacare,-14.2775,-38.9967,78.51,85,8,9.53,BR,1714254284
348,andergrove,-21.0833,149.1833,74.64,72,89,17.69,AU,1714254284
349,tucumcari,35.1717,-103.725,71.94,14,40,20.71,US,1714254285
350,santa cruz cabralia,-16.2781,-39.0247,79.03,83,75,2.3,BR,1714254285
351,san martin,-33.081,-68.4681,64.94,48,0,8.9,AR,1714254286
352,itamaraca,-7.7478,-34.8256,86.05,83,73,8.39,BR,1714254286
353,maintirano,-18.0667,44.0167,79.66,77,76,15.28,MG,1714254287
354,mugia,43.1041,-9.2179,49.91,73,36,11.95,ES,1714254287
355,knokke-heist,51.3333,3.3333,56.05,68,100,11.86,BE,1714254287
356,baise city,23.8997,106.6133,75.34,99,7,1.5,CN,1714254288
357,mbuji-mayi,-6.15,23.6,70.45,90,51,1.72,CD,1714254288
358,lhasa,29.65,91.1,44.94,59,97,4.36,CN,1714254289
359,champerico,14.3,-91.9167,86.54,60,18,14.12,GT,1714254289
360,labytnangi,66.6572,66.4183,26.38,99,91,2.95,RU,1714254289
361,gaigeturi,33.4644,126.3183,55.45,71,0,2.3,KR,1714254290
362,morant bay,17.8815,-76.4093,89.22,82,18,14.58,JM,1714254290
363,paita,-5.0892,-81.1144,74.25,75,68,14.34,PE,1714254291
364,prado,-17.3411,-39.2208,75.96,77,0,7.61,BR,1714253996
